idx	template	generated_length	sentence
7989248	GOLD	8	well , he seems a bit crude .
7989248	3	3	pretty rude .
7989248	4	4	a little harsh .
7989248	5	5	he seems quite rude .
7989248	6	6	he seems a little harsh .
7989248	7	7	well , he seems pretty rude .
7989248	8	8	well , he seems a little harsh .
7989248	9	9	well , he seems to be a bit .
7989248	10	10	well , he seems to be a little rude .
7989248	11	11	well , he seems a little bit of a bit .
7989248	12	12	well , he seems a bit kind of a little bit .
7989248	13	13	well , he seems to have a little bit of a bit .
7989248	14	14	well , he seems to have a little bit of a little bit .
7989248	15	15	well , he seems to have a little bit of a kind of injury .
7989248	16	16	well , he seems to have a little bit of a bit of a bit .
7989248	17	17	well , he seems to have a little bit of a bit of a little bit .
7989248	18	18	well , he seems to have a little bit of a bit of a kind of injury .
7989248	19	19	well , he seems to have a little bit of a bit of a bit of a bit .
7989248	20	20	well , he seems to have a little bit of a bit of a bit of a little bit .
7989248	21	21	well , he seems to have a little bit of a bit of a bit of a kind of injury .
7989248	22	22	well , he seems to be a little bit of a bit of a bit of a bit of a disease .
7989248	23	23	well , he seems to be a little bit of a bit of a lot , but he seems a little bit .
7989248	24	24	well , he seems to be a little bit of a bit of a bit of a bit of a bit of crude .
7989248	25	25	well , he seems to have a little bit of a bit of a bit of a bit of a bit of a disease .
7989248	26	26	well , he seems to have a little bit of a bit of a bit of a bit of a bit of a little bit .
7989248	27	27	well , he seems to be a little bit of a bit of a bit of a lot , but he seems to be a bit .
7989248	28	28	well , he seems to have a little bit of a bit of a bit of a bit of a bit of a bit of a disease .
7989248	29	29	well , he seems to have a little bit of a bit of a bit of a bit of a bit of a kind , is n't it ?
7989248	30	30	well , he seems to have a little bit of a bit of a bit of a bit of a lot , but he seems to be a bit .
7989248	31	31	well , he seems to have a little bit of a bit of a bit of a bit of a kind of kind , and he seems to be rude .
7989248	32	32	well , he seems to have a little bit of a bit of a bit of a bit of a lot , but he seems to have a little bit rough .
7989248	33	33	well , he seems to have a little bit of a bit of a bit of a bit of a lot , but he seems to have a little bit of crude .
7989248	34	34	well , he seems to have a little bit of a bit of a bit of a bit of a lot , but he seems to have a little bit of a bit .
7989248	35	35	well , he seems to have a little bit of a bit of a bit of a bit of a lot , but he 's got a little bit of a bit of crude .
7989248	36	36	well , he seems to have a little bit of a bit of a bit of a bit of a bit of a lot , but he seems to have a little bit of crude .
7989248	37	37	well , he seems to have a little bit of a bit of a bit of a lot , and he 's got a little bit of a little bit of a bit of a bit .
7989248	38	38	well , he seems to be a little bit , and he 's not going to be able to do it , but he seems to have a little bit of a little bit of a bit .
7989248	39	39	well , he seems to be a little bit , and he 's not going to be able to do it , but he seems to have a little bit of a bit of a kind of crude .
